#node,Magenta Annotation
ABCF2,ATP binding cassette subfamily F member 2
CEP55,Centrosomal protein of 55 kDa; Plays a role in mitotic exit and cytokinesis. Recruits PDCD6IP and TSG101 to midbody during cytokinesis. Required for successful completion of cytokinesis. Not required for microtubule nucleation. Plays a role in the development of the brain and kidney
CEP70,"Centrosomal protein of 70 kDa; Plays a role in the organization of both preexisting and nascent microtubules in interphase cells. During mitosis, required for the organization and orientation of the mitotic spindle"
CEP83,Centrosomal protein of 83 kDa; Component of the distal appendage region of the centriole involved in the initiation of primary cilium assembly. May collaborate with IFT20 in the trafficking of ciliary membrane proteins from the Golgi complex to the cilium during the initiation of primary cilium assembly
CERS2,Ceramide synthase 2; Suppresses the growth of cancer cells. May be involved in sphingolipid synthesis; CERS class homeoboxes
CHAF1B,"Chromatin assembly factor 1 subunit B; Complex that is thought to mediate chromatin assembly in DNA replication and DNA repair. Assembles histone octamers onto replicating DNA in vitro. CAF-1 performs the first step of the nucleosome assembly process, bringing newly synthesized histones H3 and H4 to replicating DNA; histones H2A/H2B can bind to this chromatin precursor subsequent to DNA replication to complete the histone octamer; Belongs to the WD repeat HIR1 family"
CHCHD3,"MICOS complex subunit MIC19; Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane. Has also been shown to function as a transcription factor which binds to the BAG1 promoter and represses BAG1 transcription. Plays an important role in the maintenance of the MICOS complex stability and the mitochondrial cristae morphology; Mitochondrial coiled-coil-helix-coiled-coil-helix domain containing proteins"
CHEK2,"Serine/threonine-protein kinase Chk2; Serine/threonine-protein kinase which is required for checkpoint-mediated cell cycle arrest, activation of DNA repair and apoptosis in response to the presence of DNA double-strand breaks. May also negatively regulate cell cycle progression during unperturbed cell cycles. Following activation, phosphorylates numerous effectors preferentially at the consensus sequence [L-X- R-X-X-S/T]. Regulates cell cycle checkpoint arrest through phosphorylation of CDC25A, CDC25B and CDC25C, inhibiting their activity. Inhibition of CDC25 phosphatase activity leads [...] "
CIAO1,"Probable cytosolic iron-sulfur protein assembly protein CIAO1; Key component of the cytosolic iron-sulfur protein assembly (CIA) complex, a multiprotein complex that mediates the incorporation of iron-sulfur cluster into extramitochondrial Fe/S proteins. Seems to specifically modulate the transactivation activity of WT1. As part of the mitotic spindle-associated MMXD complex it may play a role in chromosome segregation; Belongs to the WD repeat CIA1 family"
CIT,Citron Rho-interacting kinase; Plays a role in cytokinesis. Required for KIF14 localization to the central spindle and midbody. Putative RHO/RAC effector that binds to the GTP-bound forms of RHO and RAC1. It probably binds p21 with a tighter specificity in vivo. Displays serine/threonine protein kinase activity. Plays an important role in the regulation of cytokinesis and the development of the central nervous system. Phosphorylates MYL9/MLC2
CKAP2L,Cytoskeleton-associated protein 2-like; Microtubule-associated protein required for mitotic spindle formation and cell-cycle progression in neural progenitor cells
CKS1B,Cyclin-dependent kinases regulatory subunit 1; Binds to the catalytic subunit of the cyclin dependent kinases and is essential for their biological function
CKS2,Cyclin-dependent kinases regulatory subunit 2; Binds to the catalytic subunit of the cyclin dependent kinases and is essential for their biological function
CLCN2,"Chloride channel protein 2; Voltage-gated chloride channel. Chloride channels have several functions including the regulation of cell volume; membrane potential stabilization, signal transduction and transepithelial transport; Belongs to the chloride channel (TC 2.A.49) family. ClC-2/CLCN2 subfamily"
CLSPN,Claspin; Required for checkpoint mediated cell cycle arrest in response to inhibition of DNA replication or to DNA damage induced by both ionizing and UV irradiation. Adapter protein which binds to BRCA1 and the checkpoint kinase CHEK1 and facilitates the ATR- dependent phosphorylation of both proteins. Can also bind specifically to branched DNA structures and may associate with S- phase chromatin following formation of the pre-replication complex (pre-RC). This may indicate a role for this protein as a sensor which monitors the integrity of DNA replication forks
CNIH2,"Protein cornichon homolog 2; Regulates the trafficking and gating properties of AMPA- selective glutamate receptors (AMPARs). Promotes their targeting to the cell membrane and synapses and modulates their gating properties by regulating their rates of activation, deactivation and desensitization. Blocks CACNG8-mediated resensitization of AMPA receptors; Belongs to the cornichon family"
CNOT10,"CCR4-NOT transcription complex subunit 10; Component of the CCR4-NOT complex which is one of the major cellular mRNA deadenylases and is linked to various cellular processes including bulk mRNA degradation, miRNA-mediated repression, translational repression during translational initiation and general transcription regulation. Additional complex functions may be a consequence of its influence on mRNA expression. Is not required for association of CNOT7 to the CCR4- NOT complex"
COL10A1,Collagen alpha-1(X) chain; Type X collagen is a product of hypertrophic chondrocytes and has been localized to presumptive mineralization zones of hyaline cartilage; Collagens
COPS5,"COP9 signalosome complex subunit 5; Probable protease subunit of the COP9 signalosome complex (CSN), a complex involved in various cellular and developmental processes. The CSN complex is an essential regulator of the ubiquitin (Ubl) conjugation pathway by mediating the deneddylation of the cullin subunits of the SCF-type E3 ligase complexes, leading to decrease the Ubl ligase activity of SCF-type complexes such as SCF, CSA or DDB2. The complex is also involved in phosphorylation of p53/TP53, c-jun/JUN, IkappaBalpha/NFKBIA, ITPK1 and IRF8, possibly via its association with CK2 and PKD  [...] "
CPSF3,"Cleavage and polyadenylation specificity factor subunit 3; Component of the cleavage and polyadenylation specificity factor (CPSF) complex that play a key role in pre-mRNA 3'-end formation, recognizing the AAUAAA signal sequence and interacting with poly(A) polymerase and other factors to bring about cleavage and poly(A) addition. Has endonuclease activity, and functions as mRNA 3'-end-processing endonuclease. Also involved in the histone 3'-end pre-mRNA processing. U7 snRNP- dependent protein that induces both the 3'-endoribonucleolytic cleavage of histone pre-mRNAs and acts as a 5' t [...] "
CS,"Citrate synthase, mitochondrial; Citrate synthase"
CSE1L,"Exportin-2; Export receptor for importin-alpha. Mediates importin- alpha re-export from the nucleus to the cytoplasm after import substrates (cargos) have been released into the nucleoplasm. In the nucleus binds cooperatively to importin-alpha and to the GTPase Ran in its active GTP-bound form. Docking of this trimeric complex to the nuclear pore complex (NPC) is mediated through binding to nucleoporins. Upon transit of a nuclear export complex into the cytoplasm, disassembling of the complex and hydrolysis of Ran-GTP to Ran-GDP (induced by RANBP1 and RANGAP1, respectively) cause relea [...] "
CSPG5,Chondroitin sulfate proteoglycan 5; May function as a growth and differentiation factor involved in neuritogenesis. May induce ERBB3 activation
CSPP1,Centrosome and spindle pole-associated protein 1; May play a role in cell-cycle-dependent microtubule organization
CST2,"Cystatin-SA; Thiol protease inhibitor; Cystatins, type 2"
CTNND2,"Catenin delta-2; Has a critical role in neuronal development, particularly in the formation and/or maintenance of dendritic spines and synapses. Involved in the regulation of Wnt signaling. It probably acts on beta- catenin turnover, facilitating beta-catenin interaction with GSK3B, phosphorylation, ubiquitination and degradation (By similarity). Functions as a transcriptional activator when bound to ZBTB33 (By similarity). May be involved in neuronal cell adhesion and tissue morphogenesis and integrity by regulating adhesion molecules"
CYCS,"Cytochrome c; Electron carrier protein. The oxidized form of the cytochrome c heme group can accept an electron from the heme group of the cytochrome c1 subunit of cytochrome reductase. Cytochrome c then transfers this electron to the cytochrome oxidase complex, the final protein carrier in the mitochondrial electron-transport chain"
DAP3,"28S ribosomal protein S29, mitochondrial; Involved in mediating interferon-gamma-induced cell death; Belongs to the mitochondrion-specific ribosomal protein mS29 family"
DBF4,Protein DBF4 homolog A; Regulatory subunit for CDC7 which activates its kinase activity thereby playing a central role in DNA replication and cell proliferation. Required for progression of S phase. The complex CDC7-DBF4A selectively phosphorylates MCM2 subunit at 'Ser-40' and 'Ser-53' and then is involved in regulating the initiation of DNA replication during cell cycle; Zinc fingers DBF-type
DCAF13,DDB1- and CUL4-associated factor 13; Possible role in ribosomal RNA processing (By similarity). May function as a substrate receptor for CUL4-DDB1 E3 ubiquitin-protein ligase complex; DDB1 and CUL4 associated factors
